DistrictName,RefahVote,AkpVote,HdpVote,IyipVote,ZaferVote,ChpVote,MhpVote,TipVote,MemleketVote,BbpVote,NumberofSeats
ADANA,24556,412978,133770,149935,29480,392822,149861,31347,10733,12594,15
ADIYAMAN,15169,164067,38042,0,1955,58397,12754,0,1401,3119,5
AFYONKARAHİSAR,14013,205859,1507,59015,10604,86842,75657,1020,3716,5145,6
AĞRI,4186,51895,118684,3466,0,22638,4805,0,1557,605,4
AKSARAY,6465,108422,1477,63281,3379,0,52466,628,1727,5304,4
AMASYA,4133,90021,780,16590,3486,68337,38680,845,1289,1914,3
ANKARA-1,26453,327354,53827,179283,41141,569969,109393,0,12973,11737,13
ANKARA-2,40204,473400,25120,133811,40189,234208,136526,13071,10806,16194,11
ANKARA-3,36563,419133,32799,186564,49077,369501,142189,32647,14228,21035,12
ANTALYA,20738,468369,78461,190186,47322,536008,163915,76491,22265,10993,16
ARDAHAN,532,18528,11723,2619,570,15967,1594,0,243,186,2
ARTVİN,2701,41712,981,15069,1344,33932,10857,1716,132,438,2
AYDIN,5570,213838,55478,100533,17282,272769,64983,0,887,6546,8
BALIKESİR,18373,299651,17642,130339,18326,276241,70651,10672,10794,6069,9
BARTIN,2324,47457,419,0,1911,41680,30933,0,1184,595,2
BATMAN,3448,92399,193025,0,0,25765,3675,0,111,995,5
BAYBURT,1452,29241,207,7980,667,0,8122,96,192,360,1
BİLECİK,4911,55030,3954,18467,3382,39782,15251,1242,1858,1291,2
BİNGÖL,14562,55371,35315,2818,0,7467,19401,0,525,783,3
BİTLİS,3635,63837,70825,22914,0,0,6161,0,1046,561,3
BOLU,6851,76486,1717,15782,4063,45575,49262,1142,2101,1594,3
BURDUR,2157,64331,1105,20640,2575,55496,24960,0,1354,1243,3
BURSA-1,34293,385414,33529,150123,41943,294252,85837,14607,15286,9001,10
BURSA-2,41215,424630,56557,103378,36083,213564,91991,0,12956,6950,10
ÇANAKKALE,3781,122834,7480,64766,7860,137908,25103,4820,4111,1700,4
ÇANKIRI,3696,51358,367,22241,1895,0,38322,297,571,1245,2
ÇORUM,11675,140169,1419,0,5398,109713,71358,1255,1964,2747,4
DENİZLİ,9563,236011,16716,101081,18494,225622,58729,7148,9892,10235,8
DİYARBAKIR,13904,199476,561265,19864,0,68478,10207,0,3835,1939,12
DÜZCE,10319,130816,2549,0,5754,59969,42876,1151,2955,2404,3
EDİRNE,1857,64272,4997,58391,4241,110784,21085,2936,2501,659,4
ELAZIĞ,13031,141816,25066,8390,1950,73132,40446,0,785,1396,5
ERZİNCAN,2178,57501,1553,0,1460,54883,29787,366,430,550,2
ERZURUM,21410,183642,42462,41236,10282,27462,71509,0,2148,7526,6
ESKİŞEHİR,8717,199350,12020,86097,18617,209209,43670,9924,7892,6793,7
GAZİANTEP,46838,503081,102986,61542,37425,227471,108261,0,8454,7828,14
GİRESUN,7421,127661,721,38598,4623,60973,46737,1308,2399,1754,4
GÜMÜŞHANE,2092,36684,231,14601,860,0,20640,207,405,645,2
HAKKARİ,2931,29092,95302,0,0,9915,3988,0,1128,445,3
HATAY,15837,286568,26088,70101,11507,244964,104557,75658,4342,7743,11
IĞDIR,457,35252,45388,6706,0,6010,4581,0,414,205,2
ISPARTA,5196,91130,1975,47409,5552,62799,58423,900,2481,1536,4
İSTANBUL-1,112619,1281898,234883,295449,102722,1192744,225296,175881,38158,37850,35
İSTANBUL-2,106588,1036875,202700,237942,78649,724973,153043,101991,27393,19403,28
İSTANBUL-3,111920,1251454,380027,288129,103850,930352,228023,132485,35638,24697,35
İZMİR-1,12163,365417,134381,178748,34721,624553,68652,0,1806,7034,14
İZMİR-2,14376,374190,92075,171799,36956,623362,86707,85103,18144,6892,14
KAHRAMANMARAŞ,34455,296287,7264,44594,10810,99919,101159,0,4527,9884,8
KARABÜK,13201,58500,632,15438,3324,34300,25158,517,1646,673,3
KARAMAN,3715,66200,803,18005,3081,31058,29609,444,1519,4394,3
KARS,2757,35030,40227,21327,0,22698,13494,0,753,847,3
KASTAMONU,10232,112858,543,19289,4432,54027,37593,0,1937,2276,3
KAYSERİ,32291,367170,7600,92555,29838,154550,174332,3543,8335,17477,10
KİLİS,1968,32719,724,4861,1598,16758,22604,0,829,364,2
KIRIKKALE,3214,61360,528,18074,2718,46759,37436,0,2363,1163,3
KIRKLARELİ,1701,63582,4435,40142,4059,118732,12022,4566,1114,1299,3
KIRŞEHİR,2372,56806,3677,10797,2900,43280,21997,589,582,1475,2
KOCAELİ,79279,531740,77057,130522,43088,322524,112123,0,16826,15287,13
KONYA,72931,674006,36133,123996,42301,187182,202108,4565,12574,28814,15
KÜTAHYA,27636,178284,1031,40917,6648,63323,49940,969,2947,4564,5
MALATYA,39912,190282,12685,16664,4805,90949,54607,0,1918,5738,6
MANİSA,15264,304748,55699,110325,22093,289007,137929,0,9915,13135,10
MARDİN,4820,105053,242557,4804,2076,28317,13800,0,1127,682,6
MERSİN,10721,289043,160674,144623,22013,371950,143041,23998,8571,5404,13
MUĞLA,4259,167240,23559,122550,11947,266671,42772,40431,8736,1953,7
MUŞ,5220,37184,94704,10275,0,0,30195,0,658,655,4
NEVŞEHİR,4002,77465,973,31921,2552,34129,40585,767,1005,1778,3
NİĞDE,5848,73457,993,27442,3252,53239,49847,460,1394,1244,3
ORDU,11459,223217,992,49453,7093,120083,63024,1730,3884,4054,6
OSMANİYE,6445,107224,6624,42311,5731,56292,94925,940,2047,1882,4
RİZE,11885,123311,689,0,4050,49450,29939,683,2386,3665,3
SAKARYA,35423,330681,10268,77725,18736,112376,83999,3702,7141,6424,7
SAMSUN,35770,372755,2493,108800,19545,172977,126144,5583,9599,12224,9
ŞANLIURFA,28289,406246,242215,43645,0,71338,88632,0,739,4157,14
SİİRT,1880,56688,76719,2272,0,11467,5804,0,1367,442,3
